time_ns,din_low,din_high,dout_merged
126,  1564,     0,     0
136,  3090,     0,    14
146,  4539,     0,   -82
156,  5877,     0,   -68
166,  7071,     0,   715
176,  8090,     0,  2246
186,  8910,     0,  3831
196,  9510,     0,  5210
206,  9876,     0,  6477
216, 10000,     0,  7584
226,  9876,     0,  8504
236,  9510,     0,  9214
246,  8910,     0,  9698
256,  8090,     0,  9943
266,  7071,     0,  9943
276,  5877,     0,  9698
286,  4539,     0,  9214
296,  3090,     0,  8504
306,  1564,     0,  7584
316,     0,     0,  6477
326, -1564,     0,  5210
336, -3090,     0,  3816
346, -4539,     0,  2328
356, -5877,     0,   782
366, -7071,     0,  -783
376, -8090,     0, -2329
386, -8910,     0, -3817
396, -9510,     0, -5211
406, -9876,     0, -6478
416,-10000,     0, -7585
426, -9876,     0, -8505
436, -9510,     0, -9215
446, -8910,     0, -9699
456, -8090,     0, -9944
466, -7071,     0, -9944
476, -5877,     0, -9699
486, -4539,     0, -9215
496, -3090,     0, -8505
506, -1564,     0, -7585
516,     0,     0, -6478
526,  1564,     0, -5211
536,  3090,     0, -3817
546,  4539,     0, -2329
556,  5877,     0,  -783
566,  7071,     0,   782
576,  8090,     0,  2328
586,  8910,     0,  3816
596,  9510,     0,  5210
606,  9876,     0,  6477
616, 10000,     0,  7584
626,  9876,     0,  8504
636,  9510,     0,  9214
646,  8910,     0,  9698
656,  8090,     0,  9943
666,  7071,     0,  9943
676,  5877,     0,  9698
686,  4539,     0,  9214
696,  3090,     0,  8504
706,  1564,     0,  7584
716,     0,     0,  6477
726, -1564,     0,  5210
736, -3090,     0,  3816
746, -4539,     0,  2328
756, -5877,     0,   782
766, -7071,     0,  -783
776, -8090,     0, -2329
786, -8910,     0, -3817
796, -9510,     0, -5211
806, -9876,     0, -6478
816,-10000,     0, -7585
826, -9876,     0, -8505
836, -9510,     0, -9215
846, -8910,     0, -9699
856, -8090,     0, -9944
866, -7071,     0, -9944
876, -5877,     0, -9699
886, -4539,     0, -9215
896, -3090,     0, -8505
906, -1564,     0, -7585
916,     0,     0, -6478
926,  1564,     0, -5211
936,  3090,     0, -3817
946,  4539,     0, -2329
956,  5877,     0,  -783
